ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776715123189,1,1,0,0,0,18429,21193
1776715124632,1,1,0,0,0,18429,21193
1776715126455,1,1,0,0,0,18429,21193
1776715128457,1,1,0,0,0,18429,21193
1776715129872,1,1,0,0,0,18429,21193
1776715131301,1,1,0,0,0,18429,21193
1776715132808,1,1,0,0,0,18429,21193
1776715134465,1,1,0,1,1,18434,21198
1776715135961,1,1,0,1,1,18434,21198
1776715137436,1,1,0,1,1,18434,21198
1776715138937,1,1,1,4.8,4.8,18458,21222
1776715140637,1,1,1,4.8,4.8,18458,21222
1776715142132,1,1,1,4.8,4.8,18458,21222
1776715143647,1,1,1,115,4.8,18458,21797
1776715145318,1,1,1,115,5,18483,21797
1776715146924,1,1,1,115,5,18483,21797
1776715148687,1,1,3674,739.4,5,18508,25494
1776715150541,1,1,3674,739.4,5,18508,25494
1776715152112,1,1,3674,739.4,5,18508,25494
1776715153713,1,1,3674,739.4,5,18508,25494
1776715155253,1,1,7347,629,5,18533,28639
1776715156762,1,1,7347,629,5,18533,28639
1776715158857,4,1,7322,0,5,18558,28639
1776715161617,4,1,7322,0,5,18558,28639
1776715163488,4,1,7322,0,4.8,18582,28639
1776715165440,4,1,7297,0,4.8,18582,28639
1776715167902,4,1,7297,0,4.8,18582,28639
1776715170358,4,1,7272,0,4.8,18606,28639
1776715172244,6,1,7272,0,4.8,18606,28639
1776715174521,6,1,7248,0,4.8,18630,28639
1776715176649,6,1,7248,0,4.8,18630,28639
1776715178680,6,1,7223,0,4.8,18654,28639
1776715180784,6,1,7223,0,4.8,18654,28639
1776715182817,6,1,7223,0,4.8,18654,28639
1776715184803,6,1,7198,0,4.8,18678,28639
1776715186878,6,1,7198,0,4.8,18678,28639
1776715188924,6,1,7198,0,4.6,18701,28639
1776715191641,6,1,7198,0,4.6,18701,28639
1776715193625,6,1,7174,0,4.8,18725,28639
1776715195663,6,1,7174,0,4.8,18725,28639
1776715197948,6,1,7174,0,4.8,18725,28639
1776715200017,6,1,7149,0,4.8,18749,28639
1776715201981,6,1,7149,0,4.8,18749,28639
1776715204625,6,1,7124,0,4.8,18773,28639
1776715206908,6,1,7124,0,4.8,18773,28639
1776715209620,6,1,7100,0,6.2,18804,28639
1776715211904,6,1,7100,0,6.2,18804,28639
1776715214059,6,1,7063,0,18.2,18895,28639
1776715216622,6,4,7063,0,18.2,18895,28639
1776715219718,6,4,6972,0,18.6,18988,28639
1776715221923,6,4,6972,0,18.6,18988,28639
1776715224032,6,4,6878,0,18.8,19082,28639
1776715226010,6,4,6878,0,18.8,19082,28639
1776715228599,6,4,6779,0,27.6,19220,28639
1776715230586,6,6,6779,0,27.6,19220,28639
1776715232464,6,6,6779,0,27.6,19220,28639
1776715234437,6,6,6639,0,28.2,19361,28639
1776715236581,6,6,6639,0,28.2,19361,28639
1776715239678,6,6,6495,0,28.6,19504,28639
1776715241907,6,6,6495,0,28.6,19504,28639
1776715244002,6,6,6351,0,29,19649,28639
1776715245917,6,6,6351,0,29,19649,28639
1776715248650,6,6,6351,0,28.8,19793,28639
1776715250459,6,6,6206,0,28.8,19793,28639
1776715252496,6,6,6206,0,28.8,19793,28639
1776715254436,6,6,6063,0,28.4,19935,28639
1776715256640,6,6,6063,0,28.4,19935,28639
1776715259637,6,6,5919,0,28.4,20077,28639
1776715261728,6,6,5919,0,28.4,20077,28639
1776715263906,6,6,5775,0,28.6,20220,28639
1776715265966,6,6,5775,0,28.6,20220,28639
1776715267976,6,6,5775,0,28.6,20220,28639
1776715269993,6,6,5633,0,28.8,20364,28639
1776715271933,6,6,5633,0,28.8,20364,28639
1776715273935,6,6,5488,0,28.8,20508,28639
1776715275900,6,6,5488,0,28.8,20508,28639
1776715278000,6,6,5488,0,28.8,20508,28639
1776715280016,6,6,5343,0,28.8,20652,28639
1776715281968,6,6,5343,0,28.8,20652,28639
1776715283915,6,6,5198,0,29,20797,28639
1776715285931,6,6,5198,0,29,20797,28639
1776715287902,6,6,5198,0,29,20797,28639
1776715289982,6,6,5052,0,28.8,20941,28639
1776715292635,6,6,5052,0,28.8,20941,28639
1776715294451,6,6,4907,0,29,21086,28639
1776715296680,6,6,4907,0,29,21086,28639
1776715298575,6,6,4762,0,29.2,21232,28639
1776715300597,6,6,4762,0,29.2,21232,28639
1776715302939,6,6,4762,0,29.2,21232,28639
1776715304864,6,6,4617,0,28.8,21376,28639
1776715306987,6,6,4617,0,28.8,21376,28639
1776715309015,6,6,4472,0,28.8,21520,28639
1776715310950,6,6,4472,0,28.8,21520,28639
1776715312829,6,6,4472,0,28.8,21520,28639
1776715314800,6,6,4329,0,29,21665,28639
1776715316956,6,6,4329,0,29,21665,28639
1776715318828,6,6,4182,0,29,21810,28639
1776715320899,6,6,4182,0,29,21810,28639
1776715322942,6,6,4182,0,29,21810,28639
1776715324820,6,6,4038,0,29,21955,28639
1776715326907,6,6,4038,0,29,21955,28639
1776715328770,6,6,3891,0,28.8,22099,28639
1776715330940,6,6,3891,0,28.8,22099,28639
1776715332819,6,6,3891,0,28.8,22099,28639
1776715334857,6,6,3747,0,29,22244,28639
1776715336913,6,6,3747,0,29,22244,28639
1776715338924,6,6,3601,0,29,22389,28639
1776715340997,6,6,3601,0,29,22389,28639
1776715342987,6,6,3601,0,29,22389,28639
1776715344880,6,6,3455,0,29,22534,28639
1776715346916,6,6,3455,0,29,22534,28639
1776715348869,6,6,3308,0,29.4,22681,28639
1776715351294,6,6,3308,0,29.4,22681,28639
1776715353340,6,6,3308,0,29.4,22681,28639
1776715355211,6,6,3162,0,28.6,22824,28639
1776715357128,6,6,3162,0,28.6,22824,28639
1776715359055,6,6,3015,0,29.2,22970,28639
1776715361375,6,6,3015,0,29.2,22970,28639
1776715363197,6,6,3015,0,29.2,22970,28639
1776715365099,6,6,2868,0,29.2,23116,28639
1776715367063,6,6,2868,0,29.2,23116,28639
1776715368920,6,6,2723,0,28.8,23260,28639
1776715370803,6,6,2723,0,28.8,23260,28639
1776715372785,6,6,2723,0,28.8,23260,28639
1776715374837,6,6,2577,0,29.2,23406,28639
1776715376895,6,6,2577,0,29.2,23406,28639
1776715378775,6,6,2430,0,29.2,23552,28639
1776715380656,6,6,2430,0,29.2,23552,28639
1776715382641,6,6,2430,0,29.2,23552,28639
1776715384904,6,6,2283,0,28.6,23695,28639
1776715386903,6,6,2283,0,28.6,23695,28639
1776715388825,6,6,2137,0,29.4,23842,28639
1776715390838,6,6,2137,0,29.4,23842,28639
1776715392875,6,6,2137,0,29.4,23842,28639
1776715394959,6,6,1990,0,29,23987,28639
1776715396915,6,6,1990,0,29,23987,28639
1776715398829,6,6,1844,0,29.2,24133,28639
1776715400767,6,6,1844,0,29.2,24133,28639
1776715402884,6,6,1844,0,29.2,24133,28639
