<<<<<<< HEAD
ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total,cpu_avg_m
1700000002000,1,1,0,5,4.79,4,5,232
1700000003000,1,1,0,5,4.58,9,10,263
1700000004000,1,1,0,5,4.74,14,15,256
1700000005000,1,1,1,5,4.63,18,20,254
1700000006000,1,1,1,5,4.71,23,25,253
1700000007000,1,1,1,5,4.6,28,30,247
1700000008000,1,1,2,5,4.65,32,35,258
1700000009000,1,1,2,5,4.8,37,40,267
1700000010000,1,1,2,5,4.69,42,45,247
1700000011000,1,1,3,5,4.62,46,50,231
1700000012000,1,1,970,971.65,4.67,51,1021,472
1700000013000,1,1,1958,992.8,4.77,56,2014,481
1700000014000,1,1,2957,1003.63,4.62,60,3018,460
1700000015000,1,1,3942,989.51,4.59,65,4007,480
1700000016000,1,1,4967,1029.92,4.72,70,5037,467
1700000017000,1,1,5986,1023.61,4.75,74,6061,489
1700000018000,1,1,7005,1024.4,4.74,79,7085,491
1700000019000,1,1,7992,991.23,4.8,84,8076,498
1700000020000,1,1,8967,979.67,4.74,89,9056,488
1700000021000,1,1,9960,997.68,4.69,93,10054,479
1700000022000,1,1,9955,0.0,4.78,98,10054,480
1700000023000,1,1,9950,0.0,4.76,103,10054,474
1700000024000,1,1,9945,0.0,4.77,108,10054,495
1700000025000,1,1,9941,0.0,4.67,112,10054,482
1700000026000,1,1,9936,0.0,4.78,117,10054,488
1700000027000,1,1,9931,0.0,4.68,122,10054,468
1700000028000,1,1,9927,0.0,4.64,126,10054,487
1700000029000,1,1,9922,0.0,4.6,131,10054,496
1700000030000,1,1,9917,0.0,4.62,136,10054,496
1700000031000,1,1,9913,0.0,4.63,140,10054,498
1700000032000,1,1,9908,0.0,4.73,145,10054,480
1700000033000,1,1,9903,0.0,4.68,150,10054,486
1700000034000,1,1,9899,0.0,4.7,154,10054,472
1700000035000,2,2,9889,0.0,9.22,164,10054,480
1700000036000,2,2,9880,0.0,9.57,173,10054,484
1700000037000,2,2,9871,0.0,9.16,182,10054,492
1700000038000,2,2,9861,0.0,9.47,192,10054,496
1700000039000,2,2,9852,0.0,9.21,201,10054,489
1700000040000,2,2,9843,0.0,9.15,210,10054,486
1700000041000,2,2,9834,0.0,9.25,219,10054,469
1700000042000,2,2,9824,0.0,9.54,229,10054,464
1700000043000,2,2,9815,0.0,9.37,238,10054,494
1700000044000,2,2,9805,0.0,9.24,248,10054,468
1700000045000,2,2,9796,0.0,9.54,257,10054,476
1700000046000,2,2,9786,0.0,9.46,267,10054,461
1700000047000,2,2,9777,0.0,9.29,276,10054,466
1700000048000,2,2,9768,0.0,9.44,285,10054,463
1700000049000,2,2,9758,0.0,9.58,295,10054,461
1700000050000,4,4,9739,0.0,18.94,314,10054,460
1700000051000,4,4,9721,0.0,18.49,332,10054,492
1700000052000,4,4,9702,0.0,18.39,351,10054,467
1700000053000,4,4,9683,0.0,18.9,370,10054,475
1700000054000,4,4,9665,0.0,18.28,388,10054,499
1700000055000,4,4,9647,0.0,18.39,406,10054,461
1700000056000,4,4,9628,0.0,18.57,425,10054,484
1700000057000,4,4,9609,0.0,18.95,444,10054,464
1700000058000,4,4,9591,0.0,18.56,462,10054,461
1700000059000,4,4,9572,0.0,18.67,481,10054,490
1700000060000,4,4,9553,0.0,18.95,500,10054,496
1700000061000,4,4,9534,0.0,18.97,519,10054,494
1700000062000,4,4,9515,0.0,18.92,538,10054,478
1700000063000,4,4,9497,0.0,18.46,556,10054,486
1700000064000,4,4,9478,0.0,18.54,575,10054,464
1700000065000,6,6,9450,0.0,28.0,603,10054,494
1700000066000,6,6,9423,0.0,27.54,630,10054,483
1700000067000,6,6,9395,0.0,27.93,658,10054,480
1700000068000,6,6,9367,0.0,27.57,686,10054,498
1700000069000,6,6,9339,0.0,27.73,714,10054,484
1700000070000,6,6,9311,0.0,27.96,742,10054,460
1700000071000,6,6,9283,0.0,28.16,770,10054,465
1700000072000,6,6,9256,0.0,27.44,797,10054,461
1700000073000,6,6,9228,0.0,27.59,825,10054,463
1700000074000,6,6,9200,0.0,28.27,853,10054,480
1700000075000,6,6,9171,0.0,28.78,882,10054,497
1700000076000,6,6,9142,0.0,28.79,911,10054,469
1700000077000,6,6,9114,0.0,28.0,939,10054,470
1700000078000,6,6,9086,0.0,28.21,967,10054,484
1700000079000,6,6,9058,0.0,28.51,995,10054,488
1700000080000,8,8,9021,0.0,36.97,1032,10054,476
1700000081000,8,8,8983,0.0,37.49,1070,10054,460
1700000082000,8,8,8947,0.0,36.55,1106,10054,476
1700000083000,8,8,8910,0.0,36.69,1143,10054,488
1700000084000,8,8,8873,0.0,36.94,1180,10054,463
1700000085000,8,8,8836,0.0,36.83,1217,10054,469
1700000086000,8,8,8799,0.0,36.9,1254,10054,480
1700000087000,8,8,8762,0.0,37.37,1291,10054,472
1700000088000,8,8,8724,0.0,37.71,1329,10054,468
1700000089000,8,8,8686,0.0,38.22,1367,10054,498
1700000090000,8,8,8648,0.0,37.88,1405,10054,477
1700000091000,8,8,8611,0.0,37.46,1442,10054,483
1700000092000,8,8,8574,0.0,36.58,1479,10054,476
1700000093000,8,8,8537,0.0,37.49,1517,10054,467
1700000094000,8,8,8500,0.0,36.66,1553,10054,492
1700000095000,10,10,8453,0.0,46.48,1600,10054,480
1700000096000,10,10,8406,0.0,47.81,1647,10054,484
1700000097000,10,10,8359,0.0,46.29,1694,10054,499
1700000098000,10,10,8313,0.0,46.49,1740,10054,460
1700000099000,10,10,8266,0.0,47.24,1788,10054,464
1700000100000,10,10,8219,0.0,46.33,1834,10054,493
1700000101000,10,10,8172,0.0,47.21,1881,10054,460
1700000102000,10,10,8125,0.0,46.68,1928,10054,476
1700000103000,10,10,8079,0.0,46.77,1975,10054,468
1700000104000,10,10,8032,0.0,47.01,2022,10054,462
1700000105000,10,10,7985,0.0,46.28,2068,10054,474
1700000106000,10,10,7937,0.0,47.84,2116,10054,463
1700000107000,10,10,7890,0.0,47.41,2163,10054,467
1700000108000,10,10,7843,0.0,46.97,2210,10054,475
1700000109000,10,10,7796,0.0,46.71,2257,10054,490
1700000110000,10,10,7750,0.0,46.55,2303,10054,464
1700000111000,10,10,7704,0.0,45.89,2349,10054,463
1700000112000,10,10,7656,0.0,47.64,2397,10054,485
1700000113000,10,10,7608,0.0,47.9,2445,10054,487
1700000114000,10,10,7563,0.0,45.66,2490,10054,486
1700000115000,10,10,7515,0.0,47.47,2538,10054,488
1700000116000,10,10,7468,0.0,46.8,2585,10054,474
1700000117000,10,10,7422,0.0,46.7,2631,10054,491
1700000118000,10,10,7376,0.0,46.25,2678,10054,481
1700000119000,10,10,7329,0.0,46.75,2724,10054,498
1700000120000,10,10,7281,0.0,47.53,2772,10054,497
1700000121000,10,10,7234,0.0,47.61,2819,10054,471
1700000122000,10,10,7187,0.0,46.16,2866,10054,479
1700000123000,10,10,7141,0.0,46.22,2912,10054,477
1700000124000,10,10,7094,0.0,47.23,2959,10054,496
1700000125000,10,10,7047,0.0,47.01,3006,10054,492
1700000126000,10,10,7001,0.0,45.83,3052,10054,474
1700000127000,10,10,6953,0.0,47.99,3100,10054,465
1700000128000,10,10,6907,0.0,46.6,3147,10054,462
1700000129000,10,10,6861,0.0,45.81,3192,10054,495
1700000130000,10,10,6813,0.0,47.97,3240,10054,485
1700000131000,10,10,6767,0.0,45.91,3286,10054,471
1700000132000,10,10,6721,0.0,46.16,3332,10054,486
1700000133000,10,10,6674,0.0,47.23,3380,10054,477
1700000134000,10,10,6627,0.0,46.86,3426,10054,464
1700000135000,10,10,6580,0.0,46.9,3473,10054,497
1700000136000,10,10,6532,0.0,47.41,3521,10054,463
1700000137000,10,10,6486,0.0,46.84,3568,10054,488
1700000138000,10,10,6439,0.0,46.22,3614,10054,495
1700000139000,10,10,6393,0.0,46.71,3661,10054,488
1700000140000,10,10,6346,0.0,46.57,3707,10054,499
1700000141000,10,10,6299,0.0,47.48,3755,10054,482
1700000142000,10,10,6253,0.0,45.95,3801,10054,477
1700000143000,10,10,6207,0.0,45.67,3846,10054,483
1700000144000,10,10,6159,0.0,47.72,3894,10054,467
1700000145000,10,10,6112,0.0,46.82,3941,10054,479
1700000146000,10,10,6066,0.0,46.57,3987,10054,488
1700000147000,10,10,6018,0.0,47.85,4035,10054,488
1700000148000,10,10,5971,0.0,46.73,4082,10054,498
1700000149000,10,10,5925,0.0,46.39,4128,10054,489
1700000150000,10,10,5878,0.0,47.18,4175,10054,490
1700000151000,10,10,5830,0.0,47.64,4223,10054,468
1700000152000,10,10,5783,0.0,47.09,4270,10054,476
1700000153000,10,10,5736,0.0,47.2,4317,10054,499
1700000154000,10,10,5689,0.0,47.12,4365,10054,460
1700000155000,10,10,5642,0.0,46.71,4411,10054,488
1700000156000,10,10,5594,0.0,47.72,4459,10054,486
1700000157000,10,10,5547,0.0,47.56,4507,10054,460
1700000158000,10,10,5499,0.0,47.86,4554,10054,489
1700000159000,10,10,5452,0.0,47.06,4601,10054,496
1700000160000,10,10,5404,0.0,47.72,4649,10054,464
1700000161000,10,10,5356,0.0,47.56,4697,10054,490
1700000162000,10,10,5310,0.0,46.08,4743,10054,489
1700000163000,10,10,5263,0.0,47.01,4790,10054,467
1700000164000,10,10,5216,0.0,47.53,4837,10054,465
1700000165000,10,10,5169,0.0,47.07,4884,10054,477
1700000166000,10,10,5123,0.0,46.21,4931,10054,482
1700000167000,10,10,5076,0.0,46.72,4977,10054,468
1700000168000,10,10,5028,0.0,47.92,5025,10054,462
1700000169000,10,10,4982,0.0,45.61,5071,10054,479
1700000170000,10,10,4935,0.0,47.61,5118,10054,486
1700000171000,10,10,4887,0.0,47.41,5166,10054,479
1700000172000,10,10,4840,0.0,47.22,5213,10054,473
1700000173000,10,10,4794,0.0,46.24,5259,10054,480
1700000174000,10,10,4748,0.0,45.67,5305,10054,463
1700000175000,10,10,4701,0.0,47.41,5352,10054,466
1700000176000,10,10,4653,0.0,47.4,5400,10054,491
1700000177000,10,10,4607,0.0,46.57,5446,10054,486
1700000178000,10,10,4559,0.0,47.49,5494,10054,494
1700000179000,10,10,4513,0.0,45.92,5540,10054,466
1700000180000,10,10,4467,0.0,46.52,5586,10054,478
1700000181000,10,10,4420,0.0,46.31,5633,10054,460
1700000182000,10,10,4374,0.0,46.94,5680,10054,498
1700000183000,10,10,4327,0.0,46.48,5726,10054,481
1700000184000,10,10,4281,0.0,46.52,5773,10054,477
1700000185000,10,10,4233,0.0,47.69,5820,10054,472
1700000186000,10,10,4186,0.0,47.16,5867,10054,479
1700000187000,10,10,4139,0.0,46.89,5914,10054,496
1700000188000,10,10,4093,0.0,45.78,5960,10054,492
1700000189000,10,10,4047,0.0,46.33,6006,10054,485
1700000190000,10,10,3999,0.0,47.51,6054,10054,486
1700000191000,10,10,3953,0.0,46.54,6100,10054,493
1700000192000,10,10,3907,0.0,45.82,6146,10054,485
1700000193000,10,10,3860,0.0,46.54,6193,10054,481
1700000194000,10,10,3813,0.0,47.64,6240,10054,491
1700000195000,10,10,3766,0.0,47.11,6288,10054,472
1700000196000,10,10,3719,0.0,46.16,6334,10054,478
1700000197000,10,10,3673,0.0,46.16,6380,10054,471
1700000198000,10,10,3625,0.0,47.9,6428,10054,464
1700000199000,10,10,3578,0.0,47.56,6475,10054,475
1700000200000,10,10,3531,0.0,46.48,6522,10054,472
1700000201000,10,10,3485,0.0,45.79,6568,10054,478
1700000202000,10,10,3439,0.0,46.0,6614,10054,477
1700000203000,10,10,3393,0.0,46.3,6660,10054,495
1700000204000,10,10,3345,0.0,47.81,6708,10054,477
1700000205000,10,10,3298,0.0,47.14,6755,10054,497
1700000206000,10,10,3252,0.0,46.38,6801,10054,463
1700000207000,10,10,3206,0.0,46.17,6847,10054,467
1700000208000,10,10,3158,0.0,47.23,6895,10054,474
1700000209000,10,10,3112,0.0,46.45,6941,10054,491
1700000210000,10,10,3066,0.0,46.16,6987,10054,492
1700000211000,10,10,3019,0.0,47.12,7034,10054,476
1700000212000,10,10,2971,0.0,47.58,7082,10054,473
1700000213000,10,10,2923,0.0,47.71,7130,10054,497
1700000214000,10,10,2877,0.0,46.81,7176,10054,487
1700000215000,10,10,2829,0.0,47.88,7224,10054,489
1700000216000,10,10,2781,0.0,47.4,7272,10054,494
1700000217000,10,10,2734,0.0,47.85,7320,10054,490
1700000218000,10,10,2686,0.0,47.95,7368,10054,471
1700000219000,10,10,2638,0.0,47.09,7415,10054,486
1700000220000,10,10,2592,0.0,46.48,7461,10054,475
1700000221000,10,10,2546,0.0,46.02,7507,10054,498
1700000222000,10,10,2500,0.0,46.45,7554,10054,479
1700000223000,10,10,2452,0.0,47.74,7601,10054,467
1700000224000,10,10,2404,0.0,47.91,7649,10054,465
1700000225000,10,10,2358,0.0,45.67,7695,10054,474
1700000226000,10,10,2312,0.0,46.46,7741,10054,496
1700000227000,10,10,2264,0.0,47.72,7789,10054,490
1700000228000,10,10,2217,0.0,46.65,7836,10054,481
1700000229000,10,10,2171,0.0,46.17,7882,10054,493
1700000230000,10,10,2125,0.0,46.54,7928,10054,471
1700000231000,10,10,2078,0.0,47.13,7976,10054,466
1700000232000,10,10,2031,0.0,46.36,8022,10054,497
1700000233000,10,10,1985,0.0,45.83,8068,10054,465
1700000234000,10,10,1939,0.0,46.09,8114,10054,470
1700000235000,10,10,1893,0.0,46.61,8160,10054,470
1700000236000,10,10,1846,0.0,46.42,8207,10054,469
1700000237000,10,10,1800,0.0,46.18,8253,10054,484
1700000238000,10,10,1754,0.0,46.41,8299,10054,474
1700000239000,10,10,1706,0.0,47.44,8347,10054,462
1700000240000,10,10,1660,0.0,45.95,8393,10054,494
1700000241000,10,10,1614,0.0,46.63,8439,10054,491
1700000242000,10,10,1568,0.0,45.92,8485,10054,480
1700000243000,10,10,1520,0.0,47.63,8533,10054,473
1700000244000,10,10,1473,0.0,47.44,8580,10054,484
1700000245000,10,10,1426,0.0,46.55,8627,10054,499
1700000246000,10,10,1380,0.0,46.54,8674,10054,478
1700000247000,10,10,1332,0.0,47.09,8721,10054,472
1700000248000,10,10,1285,0.0,47.61,8768,10054,483
1700000249000,10,10,1238,0.0,47.01,8815,10054,481
1700000250000,10,10,1190,0.0,47.96,8863,10054,499
1700000251000,10,10,1142,0.0,47.62,8911,10054,478
1700000252000,10,10,1096,0.0,46.59,8957,10054,480
1700000253000,10,10,1050,0.0,45.71,9003,10054,464
1700000254000,10,10,1002,0.0,47.99,9051,10054,465
1700000255000,10,10,954,0.0,47.85,9099,10054,487
1700000256000,10,10,906,0.0,47.8,9147,10054,463
1700000257000,10,10,860,0.0,46.33,9193,10054,491
1700000258000,10,10,814,0.0,45.62,9239,10054,464
1700000259000,10,10,768,0.0,46.44,9285,10054,466
1700000260000,10,10,722,0.0,45.95,9331,10054,486
1700000261000,10,10,676,0.0,45.82,9377,10054,498
1700000262000,10,10,629,0.0,47.16,9424,10054,461
1700000263000,10,10,581,0.0,47.76,9472,10054,469
1700000264000,10,10,534,0.0,46.76,9519,10054,482
1700000265000,10,10,489,0.0,45.93,9565,10054,480
1700000266000,10,10,443,0.0,45.74,9610,10054,467
1700000267000,10,10,395,0.0,47.8,9658,10054,492
1700000268000,10,10,348,0.0,46.85,9705,10054,487
1700000269000,10,10,300,0.0,47.7,9753,10054,465
1700000270000,10,10,254,0.0,46.78,9799,10054,465
1700000271000,10,10,208,0.0,45.88,9845,10054,464
1700000272000,10,10,162,0.0,46.11,9891,10054,462
1700000273000,10,10,116,0.0,46.12,9938,10054,475
1700000274000,10,10,68,0.0,47.09,9985,10054,494
