seq,phase_idx,send_ts_ms
0,0,1776957405452
1,0,1776957405653
2,0,1776957405856
3,0,1776957406060
4,0,1776957406265
5,0,1776957406472
6,0,1776957406677
7,0,1776957406881
8,0,1776957407086
9,0,1776957407291
10,0,1776957407497
11,0,1776957407698
12,0,1776957407899
13,0,1776957408105
14,0,1776957408306
15,0,1776957408511
16,0,1776957408716
17,0,1776957408917
18,0,1776957409121
19,0,1776957409328
20,0,1776957409533
21,0,1776957409734
22,0,1776957409940
23,0,1776957410142
24,0,1776957410348
25,0,1776957410548
26,0,1776957410753
27,0,1776957410958
28,0,1776957411160
29,0,1776957411361
30,0,1776957411561
31,0,1776957411764
32,0,1776957411967
33,0,1776957412169
34,0,1776957412379
35,0,1776957412583
36,0,1776957412784
37,0,1776957412989
38,0,1776957413191
39,0,1776957413397
40,0,1776957413604
41,0,1776957413810
42,0,1776957414010
43,0,1776957414213
44,0,1776957414416
45,0,1776957414619
46,0,1776957414820
47,0,1776957415021
48,0,1776957415228
49,0,1776957415432
50,1,1776957415635
51,1,1776957415637
52,1,1776957415638
53,1,1776957415639
54,1,1776957415641
55,1,1776957415642
56,1,1776957415644
57,1,1776957415645
58,1,1776957415646
59,1,1776957415648
60,1,1776957415649
61,1,1776957415651
62,1,1776957415652
63,1,1776957415653
64,1,1776957415655
65,1,1776957415656
66,1,1776957415658
67,1,1776957415659
68,1,1776957415660
69,1,1776957415662
70,1,1776957415663
71,1,1776957415664
72,1,1776957415666
73,1,1776957415667
74,1,1776957415668
75,1,1776957415670
76,1,1776957415671
77,1,1776957415673
78,1,1776957415674
79,1,1776957415675
80,1,1776957415677
81,1,1776957415678
82,1,1776957415679
83,1,1776957415681
84,1,1776957415682
85,1,1776957415684
86,1,1776957415685
87,1,1776957415686
88,1,1776957415688
89,1,1776957415689
90,1,1776957415690
91,1,1776957415692
92,1,1776957415693
93,1,1776957415694
94,1,1776957415696
95,1,1776957415697
96,1,1776957415699
97,1,1776957415700
98,1,1776957415701
99,1,1776957415703
100,1,1776957415704
101,1,1776957415706
102,1,1776957415707
103,1,1776957415708
104,1,1776957415709
105,1,1776957415711
106,1,1776957415712
107,1,1776957415714
108,1,1776957415715
109,1,1776957415717
110,1,1776957415718
111,1,1776957415719
112,1,1776957415721
113,1,1776957415722
114,1,1776957415723
115,1,1776957415724
116,1,1776957415726
117,1,1776957415727
118,1,1776957415729
119,1,1776957415730
120,1,1776957415732
121,1,1776957415733
122,1,1776957415734
123,1,1776957415736
124,1,1776957415737
125,1,1776957415739
126,1,1776957415740
127,1,1776957415741
128,1,1776957415743
129,1,1776957415744
130,1,1776957415746
131,1,1776957415747
132,1,1776957415748
133,1,1776957415750
134,1,1776957415751
135,1,1776957415753
136,1,1776957415754
137,1,1776957415755
138,1,1776957415757
139,1,1776957415758
140,1,1776957415760
141,1,1776957415761
142,1,1776957415762
143,1,1776957415764
144,1,1776957415765
145,1,1776957415767
146,1,1776957415768
147,1,1776957415769
148,1,1776957415771
149,1,1776957415772
150,1,1776957415774
151,1,1776957415775
152,1,1776957415777
153,1,1776957415778
154,1,1776957415779
155,1,1776957415781
156,1,1776957415782
157,1,1776957415783
158,1,1776957415785
159,1,1776957415786
160,1,1776957415788
161,1,1776957415789
162,1,1776957415790
163,1,1776957415792
164,1,1776957415793
165,1,1776957415795
166,1,1776957415796
167,1,1776957415798
168,1,1776957415799
169,1,1776957415800
170,1,1776957415802
171,1,1776957415803
172,1,1776957415805
173,1,1776957415806
174,1,1776957415807
175,1,1776957415809
176,1,1776957415810
177,1,1776957415812
178,1,1776957415813
179,1,1776957415814
180,1,1776957415816
181,1,1776957415817
182,1,1776957415819
183,1,1776957415820
184,1,1776957415821
185,1,1776957415823
186,1,1776957415824
187,1,1776957415826
188,1,1776957415827
189,1,1776957415828
190,1,1776957415830
191,1,1776957415831
192,1,1776957415833
193,1,1776957415834
194,1,1776957415836
195,1,1776957415837
196,1,1776957415838
197,1,1776957415840
198,1,1776957415841
199,1,1776957415842
200,1,1776957415844
201,1,1776957415845
202,1,1776957415846
203,1,1776957415848
204,1,1776957415849
205,1,1776957415850
206,1,1776957415852
207,1,1776957415853
208,1,1776957415854
209,1,1776957415856
210,1,1776957415857
211,1,1776957415859
212,1,1776957415860
213,1,1776957415861
214,1,1776957415863
215,1,1776957415864
216,1,1776957415865
217,1,1776957415867
218,1,1776957415868
219,1,1776957415870
220,1,1776957415871
221,1,1776957415872
222,1,1776957415874
223,1,1776957415875
224,1,1776957415876
225,1,1776957415878
226,1,1776957415879
227,1,1776957415880
228,1,1776957415882
229,1,1776957415883
230,1,1776957415885
231,1,1776957415886
232,1,1776957415887
233,1,1776957415888
234,1,1776957415890
235,1,1776957415891
236,1,1776957415893
237,1,1776957415894
238,1,1776957415895
239,1,1776957415897
240,1,1776957415898
241,1,1776957415899
242,1,1776957415901
243,1,1776957415902
244,1,1776957415904
245,1,1776957415905
246,1,1776957415906
247,1,1776957415907
248,1,1776957415909
249,1,1776957415910
250,1,1776957415912
251,1,1776957415913
252,1,1776957415915
253,1,1776957415916
254,1,1776957415917
255,1,1776957415919
256,1,1776957415920
257,1,1776957415921
258,1,1776957415923
259,1,1776957415924
260,1,1776957415925
261,1,1776957415927
262,1,1776957415928
263,1,1776957415929
264,1,1776957415931
265,1,1776957415932
266,1,1776957415933
267,1,1776957415935
268,1,1776957415936
269,1,1776957415937
270,1,1776957415939
271,1,1776957415940
272,1,1776957415942
273,1,1776957415943
274,1,1776957415944
275,1,1776957415946
276,1,1776957415947
277,1,1776957415948
278,1,1776957415950
279,1,1776957415951
280,1,1776957415953
281,1,1776957415954
282,1,1776957415955
283,1,1776957415957
284,1,1776957415958
285,1,1776957415960
286,1,1776957415961
287,1,1776957415962
288,1,1776957415964
289,1,1776957415965
290,1,1776957415967
291,1,1776957415968
292,1,1776957415970
293,1,1776957415971
294,1,1776957415972
295,1,1776957415974
296,1,1776957415975
297,1,1776957415977
298,1,1776957415978
299,1,1776957415979
300,1,1776957415981
301,1,1776957415982
302,1,1776957415984
303,1,1776957415985
304,1,1776957415986
305,1,1776957415988
