ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776957395326,1,1,0,0,0,0,0
1776957397079,1,1,0,0,0,0,0
1776957398364,1,1,0,0,0,0,0
1776957400049,1,1,0,0,0,0,0
1776957401315,1,1,0,0,0,0,0
1776957402681,1,1,0,0,0,0,0
1776957404071,1,1,0,0,0,0,0
1776957405349,1,1,0,0,0,0,0
1776957407049,1,1,0,0,0,0,0
1776957408354,1,1,0,0,0,0,0
1776957410053,1,1,0,0.0,0.0,24,24
1776957411317,1,1,0,0.0,0.0,24,24
1776957412674,1,1,0,0.0,0.0,24,24
1776957414054,1,1,0,0.0,0.0,24,24
1776957415318,1,1,1,4.8,4.8,48,48
1776957417052,1,1,1,4.8,4.8,48,48
1776957418363,1,1,1,4.8,4.8,48,48
1776957420062,1,1,1,626.0,5.0,73,3178
1776957421312,1,1,1,626.0,5.0,73,3178
1776957422651,1,1,1,626.0,5.0,73,3178
1776957424048,1,1,1,626.0,5.0,73,3178
1776957425335,5,1,3442,677.8,5.0,98,6567
1776957426613,5,1,3442,677.8,5.0,98,6567
1776957427891,5,1,3442,677.8,5.0,98,6567
1776957429178,5,1,3442,677.8,5.0,98,6567
1776957430500,5,1,6783,63.0,4.8,122,6882
1776957432088,5,1,6783,63.0,4.8,122,6882
1776957433385,5,1,6783,63.0,4.8,122,6882
1776957434674,5,1,6783,63.0,4.8,122,6882
1776957436056,5,1,6759,0.0,4.8,146,6882
1776957437405,5,1,6759,0.0,4.8,146,6882
1776957438717,5,1,6759,0.0,4.8,146,6882
1776957440046,10,3,6735,0.0,13.2,212,6882
1776957441553,10,3,6735,0.0,13.2,212,6882
1776957442831,10,3,6735,0.0,13.2,212,6882
1776957444180,10,4,6735,0.0,13.2,212,6882
1776957445498,10,5,6665,0.0,23.4,329,6882
1776957446791,10,5,6665,0.0,23.4,329,6882
1776957448112,10,5,6665,0.0,23.4,329,6882
1776957449370,10,5,6665,0.0,23.4,329,6882
1776957450707,10,5,6547,0.0,23.8,448,6882
1776957452069,10,5,6547,0.0,23.8,448,6882
1776957453452,10,5,6547,0.0,23.8,448,6882
1776957455058,10,5,6426,0.0,23.6,566,6882
1776957456399,10,5,6426,0.0,23.6,566,6882
1776957457791,10,5,6426,0.0,23.6,566,6882
1776957459134,10,5,6426,0.0,23.6,566,6882
1776957461075,10,5,6306,0.0,27.0,701,6882
1776957462376,10,5,6306,0.0,27.0,701,6882
1776957463652,10,5,6306,0.0,27.0,701,6882
1776957464991,10,8,0,0,0,0,0
1776957466378,10,8,0,0,0,0,0
1776957467729,10,8,0,0,0,0,0
1776957468999,10,9,0,0,0,0,0
1776957470312,10,10,0,0,0,0,0
1776957471743,10,10,0,0,0,0,0
1776957473061,10,10,0,0,0,0,0
1776957474330,10,10,0,0,0,0,0
1776957475603,10,10,0,0,0,0,0
1776957476896,10,10,0,0,0,0,0
1776957478191,10,10,0,0,0,0,0
1776957479466,10,10,0,0,0,0,0
1776957481058,10,10,0,0,0,0,0
1776957482314,10,10,0,0,0,0,0
1776957483837,10,10,0,0,0,0,0
1776957485122,10,10,0,0,0,0,0
1776957486488,10,10,0,0,0,0,0
1776957487783,10,10,0,0,0,0,0
1776957489043,10,10,0,0,0,0,0
1776957490329,10,10,0,0,0,0,0
