ts_ms,pod_total,pod_ready,queue_depth,rate_in,rate_out,deliver_total,publish_total
1776957183567,1,1,0,0,0,0,0
1776957185074,1,1,0,0,0,0,0
1776957186349,1,1,0,0,0,0,0
1776957187768,1,1,0,0,0,0,0
1776957189117,1,1,0,0,0,0,0
1776957190415,1,1,0,0,0,0,0
1776957192047,1,1,0,0,0,0,0
1776957193350,1,1,0,0,0,0,0
1776957194632,1,1,0,0,0,0,0
1776957195976,1,1,0,0.0,0.0,7,7
1776957197226,1,1,0,0.0,0.0,7,7
1776957198501,1,1,0,0.0,0.0,7,7
1776957199812,1,1,0,0.0,0.0,7,7
1776957201137,1,1,1,5.0,5.0,32,32
1776957202435,1,1,1,5.0,5.0,32,32
1776957203743,1,1,1,5.0,5.0,32,32
1776957205059,1,1,1,168.2,4.8,56,873
1776957206344,1,1,1,168.2,4.8,56,873
1776957207643,1,1,1,168.2,4.8,56,873
1776957209023,1,1,1,168.2,4.8,56,873
1776957210269,1,1,2859,682.4,5.0,81,4285
1776957211543,1,1,2859,682.4,5.0,81,4285
1776957213051,1,1,2859,682.4,5.0,81,4285
1776957214741,5,1,2859,682.4,5.0,81,4285
1776957216015,5,1,6261,522.4,5.0,106,6897
1776957217370,5,1,6261,522.4,5.0,106,6897
1776957218762,5,1,6261,522.4,5.0,106,6897
1776957220134,5,1,6777,522.4,4.8,130,6897
1776957221513,5,1,6777,0.0,4.8,130,6897
1776957223061,5,1,6777,0.0,4.8,130,6897
1776957224795,5,1,6777,0.0,4.8,130,6897
1776957226116,5,1,6752,0.0,4.8,154,6897
1776957227512,5,1,6752,0.0,4.8,154,6897
1776957229044,5,3,6752,0.0,4.8,154,6897
1776957230743,10,3,6712,0.0,14.6,227,6897
1776957232064,10,3,6712,0.0,14.6,227,6897
1776957233365,10,4,6712,0.0,14.6,227,6897
1776957234839,10,4,6712,0.0,14.6,227,6897
1776957236154,10,4,6592,0.0,23.8,346,6897
1776957237465,10,5,6592,0.0,23.8,346,6897
1776957238876,10,5,6592,0.0,23.8,346,6897
1776957240190,10,5,6473,0.0,23.6,464,6897
1776957242078,10,5,6473,0.0,23.6,464,6897
1776957243362,10,5,6473,0.0,23.6,464,6897
1776957244906,10,5,6353,0.0,23.6,582,6897
1776957246926,10,5,6353,0.0,23.6,582,6897
1776957248237,10,5,6353,0.0,23.6,582,6897
