seq,phase_idx,send_ts_ms
0,0,1776712875436
1,0,1776712875640
2,0,1776712875842
3,0,1776712876044
4,0,1776712876250
5,0,1776712876451
6,0,1776712876654
7,0,1776712876856
8,0,1776712877059
9,0,1776712877262
10,0,1776712877465
11,0,1776712877670
12,0,1776712877871
13,0,1776712878073
14,0,1776712878275
15,1,1776712878479
16,1,1776712878532
17,1,1776712878585
18,1,1776712878640
19,1,1776712878695
20,1,1776712878748
21,1,1776712878803
22,1,1776712878858
23,1,1776712878913
24,1,1776712878964
25,1,1776712879019
26,1,1776712879069
27,1,1776712879124
28,1,1776712879179
29,1,1776712879233
30,1,1776712879285
31,1,1776712879340
32,1,1776712879392
33,1,1776712879447
34,1,1776712879500
35,1,1776712879552
36,1,1776712879605
37,1,1776712879660
38,1,1776712879715
39,1,1776712879770
40,1,1776712879823
41,1,1776712879877
42,1,1776712879932
43,1,1776712879986
44,1,1776712880039
45,1,1776712880092
46,1,1776712880144
47,1,1776712880199
48,1,1776712880249
49,1,1776712880301
50,1,1776712880353
51,1,1776712880406
52,1,1776712880462
53,1,1776712880514
54,1,1776712880565
55,1,1776712880620
56,1,1776712880672
57,1,1776712880726
58,1,1776712880780
59,1,1776712880831
60,1,1776712880885
61,1,1776712880939
62,1,1776712880994
63,1,1776712881048
64,1,1776712881101
65,1,1776712881156
66,1,1776712881206
67,1,1776712881262
68,1,1776712881312
69,1,1776712881363
70,1,1776712881415
71,1,1776712881471
72,1,1776712881526
73,1,1776712881580
74,1,1776712881631
75,1,1776712881682
76,1,1776712881737
77,1,1776712881793
78,1,1776712881847
79,1,1776712881898
80,1,1776712881951
81,1,1776712882004
82,1,1776712882059
83,1,1776712882112
84,1,1776712882165
85,1,1776712882217
86,1,1776712882268
87,1,1776712882323
88,1,1776712882373
89,1,1776712882428
90,1,1776712882484
91,1,1776712882539
92,1,1776712882594
93,1,1776712882647
94,1,1776712882698
95,1,1776712882750
96,1,1776712882803
97,1,1776712882858
